instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.seed,time,resets,unused.vehi,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_400_80_4_1.6_R_RC,1.6_R_RC,4,400,80,1.6,R,RC,1,49.1,0,4,1864.7,5565.0,24.0,5.0
HHCRSP_400_80_43_1.2_R_C,1.2_R_C,43,400,80,1.2,R,C,1,47.2,0,9,1465.0,4382.0,10.0,3.0
HHCRSP_400_80_65_0.8_R_RC,0.8_R_RC,65,400,80,0.8,R,RC,1,43.9,0,2,1680.3,5032.0,7.0,2.0
HHCRSP_400_80_93_1.2_C_C,1.2_C_C,93,400,80,1.2,C,C,1,42.8,0,13,1472.7,4414.0,2.0,2.0
HHCRSP_400_80_38_1.2_C_C,1.2_C_C,38,400,80,1.2,C,C,1,48.1,0,10,1181.0,3532.0,8.0,3.0
HHCRSP_400_80_99_1.2_R_RC,1.2_R_RC,99,400,80,1.2,R,RC,1,45.2,0,5,2247.7,6729.0,9.0,5.0
HHCRSP_400_80_23_0.4_C_RC,0.4_C_RC,23,400,80,0.4,C,RC,1,45.8,0,5,1832.0,5482.0,10.0,4.0
HHCRSP_400_80_42_1.6_C_RC,1.6_C_RC,42,400,80,1.6,C,RC,1,49.0,0,9,1705.7,5099.0,15.0,3.0
HHCRSP_400_80_53_1.0_C_R,1.0_C_R,53,400,80,1.0,C,R,1,44.9,0,7,2081.3,6213.0,27.0,4.0
HHCRSP_400_80_24_1.2_C_RC,1.2_C_RC,24,400,80,1.2,C,RC,1,42.7,0,8,1831.3,5472.0,17.0,5.0
HHCRSP_400_80_52_0.8_C_RC,0.8_C_RC,52,400,80,0.8,C,RC,1,44.5,0,6,2002.3,5994.0,10.0,3.0
HHCRSP_400_80_85_1.0_R_C,1.0_R_C,85,400,80,1.0,R,C,1,37.4,0,16,1465.0,4386.0,7.0,2.0
