instance,conf.id,gen.seed,nodes,vehi,density,depot.placement,node.placement,solve.iters,time,memory.mb,cost,travel.time,total.tardiness,max.tardiness
HHCRSP_10_3_83_1.0_C_R,1.0_C_R,83,10,3,1.0,C,R,1,0.001,14.1826,67.3441,202.032,0,0
HHCRSP_10_3_33_1.6_C_RC,1.6_C_RC,33,10,3,1.6,C,RC,1,0.001,14.1523,61.7205,185.162,0,0
HHCRSP_10_3_43_1.0_R_C,1.0_R_C,43,10,3,1.0,R,C,1,0.003,14.1885,52.3404,157.021,0,0
HHCRSP_10_3_51_1.6_C_C,1.6_C_C,51,10,3,1.6,C,C,1,0.003,14.2344,50.348,151.044,0,0
HHCRSP_10_3_69_1.0_C_RC,1.0_C_RC,69,10,3,1.0,C,RC,1,0.002,14.123,78.3485,235.045,0,0
HHCRSP_10_3_4_1.0_C_C,1.0_C_C,4,10,3,1.0,C,C,1,0.002,14.1709,22.0072,66.0215,0,0
HHCRSP_10_3_70_0.8_R_C,0.8_R_C,70,10,3,0.8,R,C,1,0.001,14.1514,50.3613,151.084,0,0
HHCRSP_10_3_92_1.2_R_C,1.2_R_C,92,10,3,1.2,R,C,1,0.002,14.1855,40.0315,120.095,0,0
HHCRSP_10_3_61_1.2_C_C,1.2_C_C,61,10,3,1.2,C,C,1,0.002,14.1611,52.6917,158.075,0,0
HHCRSP_10_3_7_1.0_C_R,1.0_C_R,7,10,3,1.0,C,R,1,0.004,14.1855,62.6729,188.019,0,0
HHCRSP_10_3_65_0.8_R_RC,0.8_R_RC,65,10,3,0.8,R,RC,1,0.003,14.1943,33.6981,101.094,0,0
HHCRSP_10_3_60_1.6_R_C,1.6_R_C,60,10,3,1.6,R,C,1,0.002,14.1826,45.6718,137.015,0,0
HHCRSP_10_3_49_0.4_R_RC,0.4_R_RC,49,10,3,0.4,R,RC,1,0.002,14.1533,53.6981,161.094,0,0
HHCRSP_10_3_80_0.4_R_RC,0.4_R_RC,80,10,3,0.4,R,RC,1,0.002,14.1475,44.8096,134.429,0,0
HHCRSP_10_3_43_1.2_R_RC,1.2_R_RC,43,10,3,1.2,R,RC,1,0.002,14.1826,47.3372,142.012,0,0
HHCRSP_10_3_71_1.2_R_RC,1.2_R_RC,71,10,3,1.2,R,RC,1,0.004,14.2344,49.0481,147.144,0,0
HHCRSP_10_3_85_1.0_R_C,1.0_R_C,85,10,3,1.0,R,C,1,0.002,14.1807,36.0254,108.076,0,0
HHCRSP_10_3_87_1.0_R_C,1.0_R_C,87,10,3,1.0,R,C,1,0.002,14.1172,50.3619,151.086,0,0
HHCRSP_10_3_44_1.2_R_C,1.2_R_C,44,10,3,1.2,R,C,1,0.002,14.1807,48.3364,145.009,0,0
HHCRSP_10_3_27_0.8_R_C,0.8_R_C,27,10,3,0.8,R,C,1,0.002,14.1865,53.0178,159.053,0,0
HHCRSP_10_3_16_0.4_C_C,0.4_C_C,16,10,3,0.4,C,C,1,0.002,14.1631,70.0249,210.075,0,0
HHCRSP_10_3_3_1.2_R_RC,1.2_R_RC,3,10,3,1.2,R,RC,1,0.002,14.1592,63.6919,191.076,0,0
HHCRSP_10_3_100_1.0_C_RC,1.0_C_RC,100,10,3,1.0,C,RC,1,0.002,14.1797,74.3411,223.023,0,0
HHCRSP_10_3_42_1.0_C_RC,1.0_C_RC,42,10,3,1.0,C,RC,1,0.002,14.1475,70.0575,210.173,0,0
HHCRSP_10_3_61_0.8_C_RC,0.8_C_RC,61,10,3,0.8,C,RC,62,0.002,14.1631,46.0253,138.076,0,0
HHCRSP_10_3_9_0.4_R_RC,0.4_R_RC,9,10,3,0.4,R,RC,1,0.001,14.1504,52.6947,158.084,0,0
HHCRSP_10_3_28_0.4_C_C,0.4_C_C,28,10,3,0.4,C,C,1,0.003,14.1807,48.6668,146,0,0
HHCRSP_10_3_96_1.2_R_C,1.2_R_C,96,10,3,1.2,R,C,1,0.002,14.1787,41.3459,124.038,0,0
